P1,low,20260904_151742_4814ab,1640
P1,high,20260904_151803_a925cb,820
P1,max,20260904_151830_ac6b67,820
P2,low,20260904_151909_6a6650,1334961
P2,high,20260904_151918_2c64b1,1334961
P2,max,20260904_151928_930377,1334961
P3,low,20260904_151940_df45c6,2284
P3,high,20260904_151952_fa1578,2285
P3,max,20260904_152010_f4b68c,2285
P4,low,20260904_152130_00f4f4,1
P4,high,20260904_152156_9f2fad,1
P4,max,20260904_152225_737f8d,1
P5,low,20260904_152357_8c66f0,1591
P5,high,20260904_152511_4f3dd2,1588
P5,max,20260904_152715_6fe43a,1588
